id,brand,model,url,price_krw,stability,breathability,cushioning,category,notes
NK-P41,Nike,Pegasus 41,https://www.nike.com/w/running-shoes-37v7jzy7ok,,1,2,1,daily,Neutral daily trainer; balanced ride
NK-AF3,Nike,Alphafly 3,https://www.nike.com/w/nike-alphafly-running-shoes-1tp17z37v7jzy7ok,,0,1,2,race,Super shoe; carbon plate
NK-VF3,Nike,Vaporfly 3,https://www.nike.com/w/nike-vaporfly-shoes-5mvs0zy7ok,,0,1,2,race,Lightweight racer; ZoomX + plate
AD-BOS12,Adidas,Adizero Boston 12,https://www.adidas.co.kr/adizero-boston-12-m/JP7753.html,,1,2,1,tempo,Lightweight tempo/daily trainer
AD-ADIOS8,Adidas,Adizero Adios 8,https://www.adidas.com/om/en/adizero-adios-8-shoes/ID6902.html,,0,2,0,tempo,Fast 5k-10k tempo/race
AD-PX2,Adidas,Adizero Prime X 2 Strung,https://www.adidas.com/us/adizero-prime-x-2.0-strung-shoes/IH5685.html,,0,1,2,race,Max stack super shoe
AD-SR1,Adidas,Supernova Rise 2,https://www.adidas.com/us/supernova,,1,1,1,daily,Comfort-focused daily trainer
NB-1080v13,New Balance,Fresh Foam X 1080 v13,https://www.newbalance.com/pd/fresh-foam-x-1080v13/W1080V13-43098.html,,1,1,2,daily,Max cushion daily trainer
NB-880v14,New Balance,Fresh Foam X 880 v14,https://www.joesnewbalanceoutlet.com/pd/fresh-foam-x-880v14/M880V14-45477.html,,1,1,1,daily,Balanced neutral trainer
NB-860v14,New Balance,Fresh Foam X 860 v14,https://www.newbalance.com/pd/fresh-foam-x-860v14/M860V14-45483-PMG-NA.html,,2,1,1,stability,Stability daily trainer
NB-REB4,New Balance,FuelCell Rebel v4,https://www.newbalance.com/pd/fuelcell-rebel-v4/MFCXCE4-D-095.html,,0,1,1,tempo,Lightweight uptempo trainer
